id,name,height,weight,generation,moves,forms,hp,attack,defense,special_attack,special_defense,speed,abilities,primary_type,secondary_type
11,metapod,7,99,1,"['string-shot', 'harden', 'iron-defense', 'bug-bite', 'electroweb']",['metapod'],50,20,55,25,25,30,['shed-skin'],bug,
12,butterfree,11,320,1,"['razor-wind', 'gust', 'whirlwind', 'headbutt', 'tackle', 'take-down', 'double-edge', 'supersonic', 'psybeam', 'hyper-beam', 'mega-drain', 'solar-beam', 'poison-powder', 'stun-spore', 'sleep-powder', 'string-shot', 'toxic', 'confusion', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'harden', 'reflect', 'bide', 'swift', 'dream-eater', 'flash', 'psywave', 'rest', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'protect', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'baton-pass', 'sweet-scent', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'facade', 'skill-swap', 'secret-power', 'air-cutter', 'silver-wind', 'signal-beam', 'aerial-ace', 'iron-defense', 'roost', 'natural-gift', 'tailwind', 'u-turn', 'air-slash', 'bug-buzz', 'energy-ball', 'giga-impact', 'defog', 'captivate', 'bug-bite', 'ominous-wind', 'venoshock', 'rage-powder', 'quiver-dance', 'round', 'acrobatics', 'struggle-bug', 'electroweb', 'hurricane', 'draining-kiss', 'confide', 'infestation', 'pollen-puff', 'dual-wingbeat']",['butterfree'],60,45,50,90,80,70,"['compound-eyes', 'tinted-lens']",bug,flying
13,weedle,3,32,1,"['poison-sting', 'string-shot', 'bug-bite', 'electroweb']",['weedle'],40,35,30,20,20,50,"['shield-dust', 'run-away']",bug,poison
14,kakuna,6,100,1,"['string-shot', 'harden', 'iron-defense', 'bug-bite', 'electroweb']",['kakuna'],45,25,50,25,25,35,['shed-skin'],bug,poison
15,beedrill,10,295,1,"['swords-dance', 'cut', 'headbutt', 'fury-attack', 'take-down', 'double-edge', 'poison-sting', 'twineedle', 'pin-missile', 'hyper-beam', 'peck', 'mega-drain', 'solar-beam', 'string-shot', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'harden', 'reflect', 'focus-energy', 'bide', 'swift', 'skull-bash', 'flash', 'rest', 'substitute', 'thief', 'snore', 'curse', 'protect', 'sludge-bomb', 'outrage', 'giga-drain', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'sweet-scent', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'brick-break', 'knock-off', 'endeavor', 'secret-power', 'air-cutter', 'silver-wind', 'aerial-ace', 'roost', 'natural-gift', 'tailwind', 'u-turn', 'payback', 'assurance', 'toxic-spikes', 'poison-jab', 'x-scissor', 'giga-impact', 'defog', 'captivate', 'bug-bite', 'ominous-wind', 'venoshock', 'round', 'acrobatics', 'struggle-bug', 'electroweb', 'drill-run', 'fell-stinger', 'confide', 'infestation', 'laser-focus', 'throat-chop', 'brutal-swing']",['beedrill'],65,90,40,45,80,75,"['swarm', 'sniper']",bug,poison
16,pidgey,3,18,1,"['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly', 'sand-attack', 'headbutt', 'tackle', 'take-down', 'double-edge', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'curse', 'protect', 'feint-attack', 'mud-slap', 'foresight', 'detect', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'feather-dance', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'air-slash', 'brave-bird', 'defog', 'captivate', 'ominous-wind', 'round', 'work-up', 'hurricane', 'confide']",['pidgey'],40,45,40,35,35,56,"['keen-eye', 'tangled-feet', 'big-pecks']",normal,flying
17,pidgeotto,11,300,1,"['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly', 'sand-attack', 'headbutt', 'tackle', 'take-down', 'double-edge', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'curse', 'protect', 'mud-slap', 'detect', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'feather-dance', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'air-slash', 'defog', 'captivate', 'ominous-wind', 'round', 'work-up', 'hurricane', 'confide']",['pidgeotto'],63,60,55,50,50,71,"['keen-eye', 'tangled-feet', 'big-pecks']",normal,flying
18,pidgeot,15,395,1,"['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly', 'sand-attack', 'headbutt', 'tackle', 'take-down', 'double-edge', 'hyper-beam', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'curse', 'protect', 'mud-slap', 'detect', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'feather-dance', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'air-slash', 'giga-impact', 'defog', 'captivate', 'ominous-wind', 'round', 'work-up', 'hurricane', 'confide', 'laser-focus']",['pidgeot'],83,80,75,70,70,101,"['keen-eye', 'tangled-feet', 'big-pecks']",normal,flying
19,rattata,3,35,1,"['cut', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'counter', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'quick-attack', 'rage', 'mimic', 'screech', 'double-team', 'defense-curl', 'focus-energy', 'bide', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'hyper-fang', 'super-fang', 'substitute', 'thief', 'flame-wheel', 'snore', 'curse', 'reversal', 'protect', 'sludge-bomb', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'shadow-ball', 'rock-smash', 'uproar', 'facade', 'taunt', 'revenge', 'endeavor', 'secret-power', 'covet', 'shock-wave', 'natural-gift', 'pluck', 'u-turn', 'assurance', 'me-first', 'last-resort', 'sucker-punch', 'zen-headbutt', 'captivate', 'grass-knot', 'charge-beam', 'round', 'retaliate', 'final-gambit', 'work-up', 'wild-charge', 'confide', 'laser-focus']",['rattata'],30,56,35,25,35,72,"['run-away', 'guts', 'hustle']",normal,
20,raticate,7,185,1,"['swords-dance', 'cut', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'roar', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'counter', 'strength', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'quick-attack', 'rage', 'mimic', 'double-team', 'defense-curl', 'focus-energy', 'bide', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'hyper-fang', 'super-fang', 'substitute', 'thief', 'snore', 'curse', 'protect', 'scary-face', 'sludge-bomb', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'shadow-ball', 'rock-smash', 'uproar', 'facade', 'taunt', 'endeavor', 'secret-power', 'covet', 'shock-wave', 'natural-gift', 'pluck', 'u-turn', 'assurance', 'last-resort', 'sucker-punch', 'giga-impact', 'zen-headbutt', 'captivate', 'grass-knot', 'charge-beam', 'round', 'retaliate', 'work-up', 'wild-charge', 'confide', 'laser-focus', 'throat-chop', 'stomping-tantrum']",['raticate'],55,81,60,50,70,97,"['run-away', 'guts', 'hustle']",normal,
21,spearow,3,20,1,"['razor-wind', 'wing-attack', 'whirlwind', 'fly', 'headbutt', 'fury-attack', 'take-down', 'double-edge', 'leer', 'growl', 'peck', 'drill-peck', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'focus-energy', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'tri-attack', 'substitute', 'thief', 'snore', 'curse', 'protect', 'scary-face', 'feint-attack', 'mud-slap', 'detect', 'endure', 'false-swipe', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'feather-dance', 'astonish', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'assurance', 'defog', 'captivate', 'ominous-wind', 'round', 'echoed-voice', 'work-up', 'drill-run', 'confide']",['spearow'],40,60,30,31,31,70,"['keen-eye', 'sniper']",normal,flying
22,fearow,12,380,1,"['razor-wind', 'wing-attack', 'whirlwind', 'fly', 'headbutt', 'fury-attack', 'take-down', 'double-edge', 'leer', 'growl', 'hyper-beam', 'peck', 'drill-peck', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'focus-energy', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'tri-attack', 'substitute', 'thief', 'snore', 'curse', 'protect', 'mud-slap', 'detect', 'endure', 'false-swipe', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'assurance', 'giga-impact', 'defog', 'captivate', 'ominous-wind', 'round', 'echoed-voice', 'work-up', 'drill-run', 'confide', 'laser-focus', 'throat-chop']",['fearow'],65,90,65,61,61,100,"['keen-eye', 'sniper']",normal,flying
23,ekans,20,69,1,"['bind', 'slam', 'headbutt', 'body-slam', 'wrap', 'take-down', 'double-edge', 'poison-sting', 'leer', 'bite', 'disable', 'acid', 'strength', 'mega-drain', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'haze', 'bide', 'skull-bash', 'glare', 'leech-life', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'curse', 'spite', 'protect', 'scary-face', 'sludge-bomb', 'mud-slap', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'beat-up', 'stockpile', 'spit-up', 'swallow', 'torment', 'facade', 'knock-off', 'snatch', 'secret-power', 'poison-fang', 'rock-tomb', 'mud-shot', 'poison-tail', 'natural-gift', 'payback', 'gastro-acid', 'sucker-punch', 'toxic-spikes', 'poison-jab', 'dark-pulse', 'aqua-tail', 'seed-bomb', 'switcheroo', 'fire-fang', 'mud-bomb', 'gunk-shot', 'captivate', 'venoshock', 'sludge-wave', 'coil', 'acid-spray', 'round', 'bulldoze', 'snarl', 'belch', 'confide', 'infestation', 'brutal-swing', 'psychic-fangs', 'scale-shot', 'skitter-smack', 'lash-out', 'tera-blast', 'trailblaze']",['ekans'],35,60,44,40,54,55,"['intimidate', 'shed-skin', 'unnerve']",poison,
24,arbok,35,650,1,"['bind', 'slam', 'headbutt', 'body-slam', 'wrap', 'take-down', 'double-edge', 'poison-sting', 'leer', 'bite', 'acid', 'hyper-beam', 'strength', 'mega-drain', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'haze', 'bide', 'skull-bash', 'glare', 'leech-life', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'curse', 'spite', 'protect', 'scary-face', 'sludge-bomb', 'mud-slap', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pain-split', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'stockpile', 'spit-up', 'swallow', 'torment', 'facade', 'knock-off', 'snatch', 'secret-power', 'poison-fang', 'rock-tomb', 'mud-shot', 'poison-tail', 'natural-gift', 'payback', 'gastro-acid', 'sucker-punch', 'toxic-spikes', 'poison-jab', 'dark-pulse', 'aqua-tail', 'seed-bomb', 'switcheroo', 'giga-impact', 'thunder-fang', 'ice-fang', 'fire-fang', 'mud-bomb', 'gunk-shot', 'captivate', 'venoshock', 'sludge-wave', 'coil', 'acid-spray', 'round', 'bulldoze', 'dragon-tail', 'snarl', 'belch', 'confide', 'infestation', 'throat-chop', 'brutal-swing', 'psychic-fangs', 'stomping-tantrum', 'breaking-swipe', 'scale-shot', 'skitter-smack', 'lash-out', 'tera-blast', 'trailblaze']",['arbok'],60,95,69,65,79,80,"['intimidate', 'shed-skin', 'unnerve']",poison,
